changetype,givenName,sn,fullName,cn,description,l,title,ou,securityEquals,groupMembership,securityEquals,groupMembership,telephoneNumber,mobile,uid,co,company,st,isManager,physicalDeliveryOfficeName,workforceID
add,Ian,Bauer,Ian Bauer,ibauer,ibauer,Atlanta,Hiring,Human Resources,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,ibauer,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00229
add,Jack,Vance,Jack Vance,jvance,jvance,Atlanta,Sales Executive,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jvance,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00230
add,Jacqueline,Sanford,Jacqueline Sanford,jsanford,jsanford,Atlanta,OS Support Technician,Support,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jsanford,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00231
add,Jared,Powell,Jared Powell,jpowell,jpowell,Atlanta,Security Technician,Technical,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jpowell,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00232
add,Jason,Bates,Jason Bates,jbates,jbates,Atlanta,Junior Consultant,Consulting,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jbates,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00233
add,Jenna,McBride,Jenna McBride,jmcbride,jmcbride,Atlanta,DB Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jmcbride,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00234
add,Jeremy,Huang,Jeremy Huang,jhuang,jhuang,Atlanta,Legal Assistant,Legal,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jhuang,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00235
add,Jessica,Novak,Jessica Novak,jnovak,jnovak,Atlanta,Marketing Executive,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jnovak,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00236
add,Jonathan,Coleman,Jonathan Coleman,jcoleman,jcoleman,Atlanta,Application Support Technician,Support,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jcoleman,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00237
add,Jordan,Villanueva,Jordan Villanueva,jvillanu,jvillanu,Atlanta,OS Technician,Technical,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jvillanu,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00238
add,Joseph,Drake,Joseph Drake,jdrake,jdrake,Atlanta,Intermediate Consultant,Consulting,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jdrake,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00239
add,Juan,McCullough,Juan McCullough,jmccullo,jmccullo,Atlanta,Linux Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jmccullo,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00240
add,Justin,Compton,Justin Compton,jcompton,jcompton,Atlanta,Sales Executive,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,jcompton,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00241
add,Katherine,Wallace,Katherine Wallace,kwallace,kwallace,Atlanta,Application Support Technician,Support,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,kwallace,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00242
add,Katie,Becker,Katie Becker,kbecker,kbecker,Atlanta,Technical Supervisor,Technical,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,kbecker,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00243
add,Kelly,Burnett,Kelly Burnett,kburnett,kburnett,Atlanta,Junior Consultant,Consulting,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,kburnett,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00244
add,Kenneth,Conway,Kenneth Conway,kconway,kconway,Atlanta,Windows Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,kconway,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00245
add,Kimberly,Daugherty,Kimberly Daugherty,kdaugher,kdaugher,Atlanta,Marketing Executive,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,kdaugher,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00246
add,Laura,Ford,Laura Ford,lford,lford,Atlanta,Support Supervisor,Support,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,lford,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00247
add,Leah,Norris,Leah Norris,lnorris,lnorris,Atlanta,Junior Consultant,Consulting,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,lnorris,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00248
add,Logan,Meyers,Logan Meyers,lmeyers,lmeyers,Atlanta,iOS Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,lmeyers,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00249
add,Luis,Stout,Luis Stout,lstout,lstout,Atlanta,Event Co-ordinator,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,lstout,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00250
add,Mackenzie,Krause,Mackenzie Krause,mkrause,mkrause,Atlanta,Junior Consultant,Consulting,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mkrause,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00251
add,Marcus,Castillo,Marcus Castillo,mcastill,mcastill,Atlanta,Web Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mcastill,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00252
add,Mariah,Wolfe,Mariah Wolfe,mwolfe,mwolfe,Atlanta,Event Co-ordinator,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mwolfe,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00253
add,Mark,Colon,Mark Colon,mcolon,mcolon,Atlanta,DB Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mcolon,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00254
add,Matthew,Gentry,Matthew Gentry,mgentry,mgentry,Atlanta,Sales Executive,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mgentry,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00255
add,Melissa,McGrath,Melissa McGrath,mmcgrath,mmcgrath,Atlanta,Linux Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mmcgrath,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00256
add,Miguel,Crawford,Miguel Crawford,mcrawfor,mcrawfor,Atlanta,Marketing Executive,Sales,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mcrawfor,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00257
add,Mitchell,McCarthy,Mitchell McCarthy,mmccarth,mmccarth,Atlanta,Windows Developer,Developers,"cn=allhands,ou=nfs4-groups,o=nfs4","cn=allhands,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4","cn=edir-users,ou=nfs4-groups,o=nfs4",1-404-806-3855,1-404-793-2281,mmccarth,United States,Excession Systems,Georgia,FALSE,Atlanta,2-00258
